vertex,density,edges,comparations,error,time
10,0,9.0,43.0,1.414213562373095,6.456199995833838e-05
10,0.1,12.666666666666666,58.0,1.699673171197595,6.756399974013523e-05
10,0.3,20.333333333333332,50.333333333333336,0.2721655269759087,6.730433293948106e-05
10,0.5,25.0,54.0,2.6246692913372702,7.188333317268795e-05
10,0.7,35.333333333333336,59.333333333333336,4.27741701220448,8.141366682442215e-05
10,0.9,42.333333333333336,56.333333333333336,1.0886621079036347,8.155533305398421e-05
10,1,45.0,57.333333333333336,1.7847087115787792,8.158799967835269e-05
30,0,29.0,226.66666666666666,2.1256807188565547,0.00021086699962324928
30,0.1,70.33333333333333,318.0,10.077477638553983,0.0002923879998585714
30,0.3,158.66666666666666,350.3333333333333,3.9534326388127106,0.0003126613334340315
30,0.5,228.0,347.3333333333333,7.076303701373625,0.00033301366693194723
30,0.7,306.0,362.6666666666667,2.1256807188565547,0.00032953066662836744
30,0.9,388.3333333333333,357.0,9.285592184789413,0.00033356166689676076
30,1,435.0,363.6666666666667,5.463684823619665,0.00033686500046314904
50,0,49.0,407.6666666666667,3.2087842395985895,0.00030945566656252293
50,0.1,167.0,715.6666666666666,6.400231477295408,0.0004701270002745635
50,0.3,381.3333333333333,716.3333333333334,4.650766563656967,0.0005275056664686417
50,0.5,639.3333333333334,725.6666666666666,2.841491522787649,0.0005945706667868459
50,0.7,868.0,756.0,14.290634073484012,0.0006562709998737167
50,0.9,1098.6666666666667,739.3333333333334,4.815099706671212,0.0006932183338600831
50,1,1225.0,754.3333333333334,8.923543557893895,0.0007605573337059468
70,0,69.0,528.6666666666666,30.985062111831798,0.0004353253328493641
70,0.1,298.0,1118.0,15.434449203720302,0.0007105930001974533
70,0.3,789.0,1160.6666666666667,7.97681826479892,0.000861583333365464
70,0.5,1218.3333333333333,1168.6666666666667,14.65403496449837,0.0009687873331737743
70,0.7,1711.6666666666667,1168.0,15.96524001977073,0.001094926000405394
70,0.9,2175.6666666666665,1225.3333333333333,11.16873944278139,0.0012218106667205575
70,1,2415.0,1171.3333333333333,12.304771733250782,0.0012085340000946114
90,0,89.0,732.3333333333334,69.68234804905494,0.0005861983333185586
90,0.1,483.6666666666667,1577.3333333333333,3.13876597596123,0.0009934246666792508
90,0.3,1257.0,1601.3333333333333,12.223232281496061,0.0011938210000153049
90,0.5,2079.0,1670.3333333333333,2.1256807188565547,0.0014394459997978022
90,0.7,2822.0,1665.0,10.338708279513883,0.0015824543334019836
90,0.9,3627.0,1655.6666666666667,6.622073078111707,0.0017267449996628177
90,1,4005.0,1669.0,20.54263858417414,0.0018252626665950327
200,0,199.0,1887.6666666666667,102.56416239314494,0.0015267980000620203
200,0.1,2168.6666666666665,4380.666666666667,11.854050721948111,0.0028666139996857964
200,0.3,6101.666666666667,4605.0,8.219218670625303,0.0038759053334918767
200,0.5,10079.0,4628.333333333333,19.37543308954428,0.004781893000047906
200,0.7,13997.0,4674.666666666667,12.756987918029113,0.006131071999940711
200,0.9,17958.666666666668,4674.666666666667,22.26274083821733,0.007450626999646677
200,1,19900.0,4703.0,7.039570693980959,0.008218089999900258
300,0,299.0,2902.3333333333335,108.93457091640259,0.002440311000100337
300,0.1,4728.0,7310.666666666667,47.57294593763545,0.005048287999973884
300,0.3,13625.0,7532.666666666667,37.69566238923204,0.007600257000073422
300,0.5,22726.333333333332,7582.666666666667,4.529737135697669,0.011110813333592281
300,0.7,31576.0,7638.333333333333,21.76813845628174,0.014647121333230947
300,0.9,40383.0,7720.0,32.87687468250121,0.017947817666633153
300,1,44850.0,7698.333333333333,31.09245472362613,0.019888705000084883
500,0,499.0,5658.666666666667,103.55925124545136,0.004403214666429752
500,0.1,12848.666666666666,13713.666666666666,56.53972710175335,0.010759128666904871
500,0.3,37702.666666666664,14062.333333333334,32.23984192590602,0.021477977332930703
500,0.5,62569.333333333336,14329.0,36.11094017053558,0.031721222000063186
500,0.7,87573.66666666667,14340.333333333334,21.890298882956927,0.04444208200008385
500,0.9,112263.0,14279.333333333334,2.325383281828483,0.055057462333328054
500,1,124750.0,14343.333333333334,53.72012520324066,0.06085986000016419
1000,0,999.0,10748.0,487.53142348867,0.008977481666685586
1000,0.1,50850.0,31366.666666666668,59.56571223509439,0.037525085666857194
1000,0.3,150346.33333333334,32405.666666666668,15.422446364045229,0.08177997966686235
1000,0.5,250089.66666666666,32675.333333333332,23.368227876201356,0.13084455333349373
1000,0.7,350079.3333333333,32662.333333333332,49.57000287659044,0.17514009899969096
1000,0.9,449611.0,32632.0,32.826141344293816,0.21881770199979655
1000,1,499500.0,32660.0,57.86382481501048,0.24311634933322543
